topic,term1,term2,score,relatedness_level
the sale of violent video games to minors should be banned,player,forms of violence,0.0,low
the sale of violent video games to minors should be banned,player,minors,0.2,low
the sale of violent video games to minors should be banned,player,strategy games,0.9,high
the sale of violent video games to minors should be banned,player,violent video games,0.9,high
the sale of violent video games to minors should be banned,playing video games,minors,0.5,medium
the sale of violent video games to minors should be banned,playing video games,violent video games,0.9,high
the sale of violent video games to minors should be banned,rating,minors,0.1,low
the sale of violent video games to minors should be banned,rating,rating board esrb,1.0,high
the sale of violent video games to minors should be banned,rating,violent behavior,0.0,low
the sale of violent video games to minors should be banned,rating,violent video games,0.4,medium
the sale of violent video games to minors should be banned,rating board,minors,0.2,low
the sale of violent video games to minors should be banned,rating board,violent video games,0.8,high
the sale of violent video games to minors should be banned,rating board esrb,minors,0.3,low
the sale of violent video games to minors should be banned,rating board esrb,violent video games,0.9,high
the sale of violent video games to minors should be banned,sales,minors,0.0,low
the sale of violent video games to minors should be banned,sales,violent video games,0.1,low
the sale of violent video games to minors should be banned,sexual violence,minors,0.3,low
the sale of violent video games to minors should be banned,sexual violence,violent video games,0.4,medium
the sale of violent video games to minors should be banned,software rating board,minors,0.2,low
the sale of violent video games to minors should be banned,software rating board,online,0.0,low
the sale of violent video games to minors should be banned,software rating board,rating board esrb,1.0,high
the sale of violent video games to minors should be banned,software rating board,sales,0.0,low
the sale of violent video games to minors should be banned,software rating board,violent video games,0.9,high
the sale of violent video games to minors should be banned,strategy games,minors,0.2,low
the sale of violent video games to minors should be banned,strategy games,violent video games,0.7,high
the sale of violent video games to minors should be banned,studies,minors,0.0,low
the sale of violent video games to minors should be banned,studies,violent video games,0.1,low
the sale of violent video games to minors should be banned,video,forms of violence,0.0,low
the sale of violent video games to minors should be banned,video,minors,0.1,low
the sale of violent video games to minors should be banned,video,online games,0.2,low
the sale of violent video games to minors should be banned,video,rating board esrb,0.3,low
the sale of violent video games to minors should be banned,video,sexual violence,0.0,low
the sale of violent video games to minors should be banned,video,violent video games,0.7,high
the sale of violent video games to minors should be banned,video game,columbine high school,0.5,medium
the sale of violent video games to minors should be banned,video game,consoles,0.9,high
the sale of violent video games to minors should be banned,video game,content rating,0.9,high
the sale of violent video games to minors should be banned,video game,minors,0.5,medium
the sale of violent video games to minors should be banned,video game,sales,0.5,medium
the sale of violent video games to minors should be banned,video game,video game sales,1.0,high
the sale of violent video games to minors should be banned,video game,violent video games,1.0,high
the sale of violent video games to minors should be banned,video game content,attorney jack thompson,0.7,high
the sale of violent video games to minors should be banned,video game content,gameplay,0.9,high
the sale of violent video games to minors should be banned,video game content,minors,0.2,low
the sale of violent video games to minors should be banned,video game content,online games,0.8,high
the sale of violent video games to minors should be banned,video game content,rating board,0.8,high
the sale of violent video games to minors should be banned,video game content,violent video games,1.0,high
the sale of violent video games to minors should be banned,video game industry,game content rating,0.9,high
